	input	filtered	denoisedF	denoisedR	merged	nonchim
S1	79828	70966	70608	70654	69367	67130
S10	144194	91663	91225	91144	88853	85600
S11	154478	97179	96627	96539	94024	90702
S12	225805	139930	139031	139056	135131	130275
S13	120839	117743	117210	117390	114631	111704
S14	145578	141835	141144	141431	138113	134905
S15	195488	190522	189552	189912	185360	180724
S16	193784	180788	180227	180290	176429	172485
S17	110437	104076	103779	103849	101796	99368
S18	147445	138602	138237	138284	135432	132307
S19	148589	132644	132055	132101	129459	126908
S2	96317	85022	84576	84624	82933	80313
S20	163534	145221	144485	144564	141477	138938
S21	189156	170299	169640	169701	166534	163650
S22	198425	161893	160828	160884	157136	153343
S23	217478	182214	181253	181376	177770	173331
S24	302162	248210	246878	246980	242052	236119
S25	134495	113774	113155	113154	109498	106839
S26	108754	92235	91677	91770	88705	86480
S27	131981	111513	110889	110962	107405	104845
S28	146774	122678	122167	122175	117987	113671
S29	207183	170179	169285	169210	162850	156892
S3	77458	65558	65238	65196	63892	61851
S30	145926	118933	118243	118366	113863	109459
S31	2398	1488	1459	1477	1431	1410
S32	44	40	40	40	40	40
S33	141277	133580	132789	132659	129626	125817
S34	134680	127491	126584	126449	123496	120149
S35	115710	109574	108939	108894	106490	103457
S36	84894	62580	62082	61881	60494	50417
S37	159385	121207	120310	120347	117893	115184
S38	159034	121265	120312	120433	117906	115304
S39	169736	155869	155260	155237	150986	147220
S4	93656	87028	86601	86513	83764	80280
S40	141493	129291	128596	128529	124476	121419
S41	185147	171030	170362	170246	165381	161525
S42	229140	208064	206557	206636	199576	193995
S43	146190	131131	130273	130291	125726	121785
S44	159944	145128	144149	144070	139121	135082
S45	241611	232873	231604	231878	226584	220298
S46	230390	222512	221195	221589	216358	210605
S47	246599	236951	235569	235910	230495	224344
S48	163591	156081	155305	154927	148584	141620
S49	116214	110778	110221	109618	0	0
S5	105546	98425	97900	97876	94583	91003
S50	107488	101856	101479	101102	97628	92815
S51	140869	42195	41817	41676	41142	39993
S52	157829	49170	48763	48596	47987	46663
S53	136975	44052	43619	43510	42945	41755
S54	115409	57817	57549	57423	56801	55705
S55	98412	49123	48763	48691	48133	47162
S56	174426	89004	88459	88369	87335	85762
S57	245444	45657	45207	45145	44616	43525
S58	178644	30680	30348	30299	29888	28921
S59	190279	36751	36322	36219	35693	34720
S6	177710	165318	164482	164474	159403	153696
S60	157412	143330	141913	141229	137261	134141
S61	143556	129888	128591	128577	125407	122339
S62	175438	159893	158708	158533	154730	151333
S63	137	133	133	132	132	132
S64	21	13	8	8	7	7
S65	10995	10034	9995	9992	9697	9357
S66	2884	2568	2543	2549	2505	2255
S67	7	3	3	2	1	1
S68	5577	3683	3599	3675	3534	3333
S69	2549	2275	2269	2270	2114	1984
S7	179927	171776	170154	170633	142894	123624
S70	2997	2819	2747	2810	2690	2353
S72	90554	85368	84354	84743	80697	78823
S8	52982	50649	50202	50357	42540	41230
S9	124021	117006	115940	116303	98394	94769
